_id,airline,name,alias,iata,icao,active,country,base
56e9b497732b6122f8791177,3837,PHH Aviation System,,XAS,,N,United States,BNC
56e9b497732b6122f8791178,3838,PLM Dollar Group,,PDG,OSPREY,N,United Kingdom,YGR
56e9b497732b6122f8791179,3839,PLUNA,PU,PUA,PLUNA,Y,Uruguay,SCT
56e9b497732b6122f879117a,3840,PMTair,U4,PMT,MULTITRADE,Y,Cambodia,AOJ
56e9b497732b6122f879117b,3841,PRT Aviation,,PRP,PRONTO,N,Spain,AUG
56e9b497732b6122f879117c,3842,PSA Airlines,,JIA,BLUE STREAK,N,United States,HAH
56e9b497732b6122f879117d,3843,PTL Luftfahrtunternehemen,,KST,KING STAR,N,Germany,CRA
56e9b497732b6122f879117e,3844,Paccair,,WIS,WISCAIR,N,United States,FRA
56e9b497732b6122f879117f,3845,Pace Airlines,Y5,PCE,PACE,N,United States,DHN
56e9b497732b6122f8791180,3846,Pacific Air Boats,,PAB,AIR BOATS,N,Canada,CWA
56e9b497732b6122f8791181,3847,Pacific Air Charter,,PRC,PACIFIC CHARTER,N,United States,ESB
56e9b497732b6122f8791182,3848,Pacific Air Express,,PCF,PACIFIC EXPRESS,N,United States,BMV
56e9b497732b6122f8791183,3849,Pacific Air Transport,,PXP,PAK EXPRESS,N,United States,ORU
56e9b497732b6122f8791184,3850,Jetstar Pacific,BL,PIC,PACIFIC AIRLINES,Y,Vietnam,CKD
56e9b497732b6122f8791185,3852,Pacific Aviation (Australia),,PCV,PACAV,N,Australia,ANI
56e9b497732b6122f8791186,3853,Pacific Aviation (United States),,PCX,,N,United States,CCV
56e9b497732b6122f8791187,3854,Pacific Blue,DJ,PBN,BLUEBIRD,N,New Zealand,ILM
56e9b497732b6122f8791188,3855,Pacific Coast Airlines,,PQA,SAGE BRUSH,N,United States,XIY
56e9b497732b6122f8791189,3856,Pacific Coastal Airline,8P,PCO,PASCO,Y,Canada,KCM
56e9b497732b6122f879118a,3857,Pacific East Asia Cargo Airlines,Q8,PEC,PAC-EAST CARGO,Y,Philippines,AAT
56e9b497732b6122f879118b,3858,Pacific Flight Services,,PFA,PACIFIC SING,N,Singapore,SRY
56e9b497732b6122f879118c,3859,Pacific International Airlines,,PIN,ROAD RUNNERS,N,United States,CAW
56e9b497732b6122f879118d,3860,Pacific Island Aviation,,PSA,PACIFIC ISLE,Y,United States,HAV
56e9b497732b6122f879118e,3861,Pacific Jet,,PCJ,PACIFIC JET,N,United States,RVT
56e9b497732b6122f879118f,3862,Pacific Pearl Airways,,PPM,PACIFIC PEARL,N,Philippines,DXB
56e9b497732b6122f8791190,3863,Pacific Rim Airways,,PAR,PACRIM,N,Australia,DYU
56e9b497732b6122f8791191,3864,Pacific Southwest Airlines,PS,PSX,SMILEY,N,United States,CZE
56e9b497732b6122f8791192,3851,Pacific Alaska Airlines,,PAK,PACIFIC ALASKA,N,United States,GCC
56e9b497732b6122f8791193,3868,Package Express,,RCY,RACE CITY,N,United States,DRV
56e9b497732b6122f8791194,3867,Pacificair Airlines,,PFR,PACIFIC WEST,N,United States,SAP
56e9b497732b6122f8791195,3869,Paisajes Espanoles,,PAE,PAISAJES,N,Spain,RBR
56e9b497732b6122f8791196,3870,Pak West Airlines,,PKW,PLATINUM WEST,N,United States,KRT
56e9b497732b6122f8791197,3865,Pacific Wings,LW,NMI,TSUNAMI,Y,United States,LUO
56e9b497732b6122f8791198,3871,Pakistan International Airlines,PK,PIA,PAKISTAN,Y,Pakistan,ULO
56e9b497732b6122f8791199,3872,Pakker Avio,,PKR,PAKKER AVIO,N,Estonia,AKI
56e9b497732b6122f879119a,3873,Pal Aerolineas,,LPA,LINEASPAL,N,Mexico,KHZ
56e9b497732b6122f879119b,3874,Palau Asia Pacific Airlines,,PPC,PALAU ASIAPAC,N,Palau,BWT
56e9b497732b6122f879119c,3875,Palau Trans Pacific Airline,GP,PTP,TRANS PACIFIC,N,Palau,SJC
56e9b497732b6122f879119d,3866,Pacificair,GX,,,N,Philippines,ILD
56e9b497732b6122f879119e,3876,Palestinian Airlines,PF,PNW,PALESTINIAN,N,Egypt,NLG
56e9b497732b6122f879119f,3877,Palmer Aviation,,JSP,PALMER,N,United Kingdom,HHH
56e9b497732b6122f87911a0,3878,Pamir Airways,NR,PIR,PAMIR,N,Afghanistan,DIR
56e9b497732b6122f87911a1,3879,Pan African Air Services,,PFN,PANAFRICAN,N,Sierra Leone,GPA
56e9b497732b6122f87911a2,3880,Pan African Airways,,ODM,,N,Kenya,EVN
56e9b497732b6122f87911a3,3881,Pan Air,,PAX,PANNEX,N,United States,BEB
56e9b497732b6122f87911a4,3882,Pan Am Weather Systems,,XPA,,N,United States,VGZ
56e9b497732b6122f87911a5,3883,Pan Am World Airways,,PWD,,N,Dominican Republic,FDH
56e9b497732b6122f87911a6,3885,Pan American Airways,PA,PAA,,N,United States,KTL
56e9b497732b6122f87911a7,3886,Pan American World Airways,PA,PAA,CLIPPER,N,United States,KSF
56e9b497732b6122f87911a8,3887,Pan Europeenne Air Service,,PEA,,N,France,RUA
56e9b497732b6122f87911a9,3888,Pan Havacilik Ve Ticaret,,PHT,PANANK,N,Turkey,RTA
56e9b497732b6122f87911aa,3889,Pan Malaysian Air Transport,,PMA,PAN MALAYSIA,N,Malaysia,MGA
56e9b497732b6122f87911ab,3890,Pan-Air,,PNC,PANAIRSA,N,Mexico,MYU
56e9b497732b6122f87911ac,3891,Panafrican Airways,PQ,PNF,PANWAYS,N,Ivory Coast,GPA
56e9b497732b6122f87911ad,3892,Panagra Airways,,PGI,PANAGRA,N,United States,PMF
56e9b497732b6122f87911ae,3893,Panamedia,,PEI,PANAMEDIA,N,Spain,CJU
56e9b497732b6122f87911af,3894,Panavia,,PVI,,N,Panama,SJZ
56e9b497732b6122f87911b0,3895,Panh,,PNH,KUBAN LIK,N,Russia,SXP
56e9b497732b6122f87911b1,3896,Pannon Air Service,,PHU,PANNON,N,Hungary,ISC
56e9b497732b6122f87911b2,3897,Panorama,,PNM,PANORAMA,N,Spain,BJX
56e9b497732b6122f87911b3,3898,Panorama Air Tour,,PAH,LANI,N,United States,BPN
56e9b497732b6122f87911b4,3899,Panorama Flight Service,,AFD,AIRFED,N,United States,AKP
56e9b497732b6122f87911b5,3900,Pantanal Linhas Aéreas,P8,PTN,PANTANAL,N,Brazil,KSY
56e9b497732b6122f87911b6,3901,Papair Terminal,,HMP,PAPAIR TERMINAL,N,Haiti,RKV
56e9b497732b6122f87911b7,3902,Paradise Airways,,PAI,SEA RAY,N,United States,GUC
56e9b497732b6122f87911b8,3903,Paradise Island Airways,,PDI,PARADISE ISLAND,N,United States,COS
56e9b497732b6122f87911b9,3904,Paragon Air Express,,PGX,PARAGON EXPRESS,N,United States,MSO
56e9b497732b6122f8790c12,2452,Free Bird Airlines,,FHY,FREE BIRD,N,Turkey,TOF
56e9b497732b6122f8790c13,2453,Freedom Air,,FOM,FREE AIR,N,New Zealand,PBI
56e9b497732b6122f8790c14,2454,Freedom Air,FP,FRE,FREEDOM,Y,United States,LIS
56e9b497732b6122f8790c15,2455,Freedom Air Services,,FFF,INTER FREEDOM,N,Nigeria,RZR
56e9b497732b6122f8790c16,2457,Freedom Airways,,FAS,FREEDOM AIRWAYS,N,Cyprus,PSR
56e9b497732b6122f8790c17,2458,Freeway Air,,FWC,FREEWAY,N,Netherlands,AAX
56e9b497732b6122f8790c18,2459,Freight Runners Express,,FRG,FREIGHT RUNNERS,N,United States,ATZ
56e9b497732b6122f8790c19,2460,Force Aerienne Francaise,,FAF,FRENCH AIR FORCE,N,France,MKP
56e9b497732b6122f8790c1a,2461,"Aviation Legere De L'Armee De Terre",,FMY,FRENCH ARMY,N,France,SBA
56e9b497732b6122f8790c1b,2463,Fresh Air,,FRR,FRESH AIR,N,Nigeria,PGA
56e9b497732b6122f8790c1c,2464,Freshaer,,FAE,WILDGOOSE,N,United Kingdom,MSJ
56e9b497732b6122f8790c1d,2465,Friendship Air Alaska,,FAL,FRIENDSHIP,N,United States,PUS
